page,subject,pathway,tier,quiz_count,fifa_count,has_common_mistake,has_matching,has_equations,has_rp,has_examiner_tip,lineup
biology/cell-biology/eukaryotes-prokaryotes,biology,combined,foundation,5,2,True,True,True,False,False,1111000111
biology/cell-biology/animal-plant-cells,biology,combined,foundation,5,0,True,True,False,True,False,0011001101
biology/cell-biology/cell-specialisation,biology,combined,foundation,4,0,True,True,False,False,False,0011000101
biology/cell-biology/microscopy,biology,combined,foundation,5,3,True,True,True,True,False,1111001111
biology/cell-biology/chromosomes-mitosis,biology,combined,foundation,5,0,True,True,False,False,False,0011000101
biology/cell-biology/stem-cells,biology,combined,foundation,4,0,True,True,False,False,False,0011000101
biology/cell-biology/transport-in-cells,biology,combined,foundation,5,1,True,True,False,True,False,0011001111
biology/organisation/principles-of-organisation,biology,combined,foundation,4,0,True,True,False,False,False,0011000101
biology/organisation/digestive-system,biology,combined,foundation,5,0,True,True,False,True,False,0011001101
biology/organisation/enzymes,biology,combined,foundation,5,0,True,True,False,True,False,0011001101
biology/organisation/heart-blood-vessels,biology,combined,foundation,4,0,True,True,False,False,False,0011000101
biology/organisation/blood,biology,combined,foundation,4,0,True,True,False,False,False,0011000101
biology/organisation/coronary-heart-disease,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/health-disease,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/cancer,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/plant-tissues,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/transpiration,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/translocation,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/infection-response/communicable-diseases-defence,biology,combined,foundation,4,0,True,True,False,False,False,0011000101
biology/infection-response/viral-diseases,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/infection-response/bacterial-diseases,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/infection-response/fungal-protist-diseases,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/infection-response/vaccination,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/infection-response/antibiotics-painkillers,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/infection-response/drug-discovery-development,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/photosynthesis,biology,combined,foundation,4,0,True,True,True,True,False,0111001101
biology/bioenergetics/rate-of-photosynthesis,biology,combined,foundation,3,0,True,True,False,True,False,0011001101
biology/bioenergetics/uses-of-glucose,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/aerobic-respiration,biology,combined,foundation,3,0,True,True,True,False,False,0111000101
biology/bioenergetics/anaerobic-respiration,biology,combined,foundation,4,0,True,True,True,False,False,0111000101
biology/bioenergetics/response-to-exercise,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/metabolism,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/homeostasis,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/nervous-system,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/reflex-actions,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/endocrine-system,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/blood-glucose-diabetes,biology,combined,foundation,3,1,True,True,False,False,False,0011000111
biology/homeostasis/human-reproduction-hormones,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/contraception-fertility,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/reaction-time,biology,combined,foundation,2,1,True,True,True,False,False,1111000111
biology/inheritance/sexual-asexual-reproduction,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/inheritance/dna-genome,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/inheritance/genetic-inheritance,biology,combined,foundation,3,1,True,True,False,False,False,0011000111
biology/inheritance/inherited-disorders,biology,combined,foundation,2,1,True,True,False,False,False,0011000111
biology/inheritance/sex-determination,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/inheritance/variation,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/inheritance/evolution-natural-selection,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/inheritance/selective-breeding,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/inheritance/genetic-engineering,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/inheritance/evidence-for-evolution,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/inheritance/fossils-extinction,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/inheritance/resistant-bacteria,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/ecology/ecosystems,biology,combined,foundation,3,0,True,True,False,False,False,0011000101
biology/ecology/abiotic-biotic-factors,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/adaptations,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/food-chains-webs,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/population-competition,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/biodiversity,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/waste-management,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/land-use,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/deforestation,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/global-warming,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/maintaining-biodiversity,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/carbon-cycle,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/water-cycle,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/decomposition,biology,combined,foundation,2,0,True,True,False,True,False,0011001101
biology/ecology/sampling-techniques,biology,combined,foundation,3,1,True,True,True,True,False,1111001111
biology/cell-biology/eukaryotes-prokaryotes,biology,combined,higher,5,2,True,True,True,False,False,1111000111
biology/cell-biology/animal-plant-cells,biology,combined,higher,5,0,True,True,False,True,False,0011001101
biology/cell-biology/cell-specialisation,biology,combined,higher,4,0,True,True,False,False,False,0011000101
biology/cell-biology/microscopy,biology,combined,higher,5,3,True,True,True,True,False,1111101111
biology/cell-biology/chromosomes-mitosis,biology,combined,higher,5,0,True,True,False,False,False,0011100101
biology/cell-biology/stem-cells,biology,combined,higher,4,0,True,True,False,False,False,0011100101
biology/cell-biology/transport-in-cells,biology,combined,higher,5,1,True,True,False,True,False,0011101111
biology/organisation/principles-of-organisation,biology,combined,higher,4,0,True,True,False,False,False,0011000101
biology/organisation/digestive-system,biology,combined,higher,5,0,True,True,False,True,False,0011101101
biology/organisation/enzymes,biology,combined,higher,5,0,True,True,False,True,False,0011001101
biology/organisation/heart-blood-vessels,biology,combined,higher,4,0,True,True,False,False,False,0011100101
biology/organisation/blood,biology,combined,higher,4,0,True,True,False,False,False,0011000101
biology/organisation/coronary-heart-disease,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/health-disease,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/cancer,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/plant-tissues,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/transpiration,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/translocation,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/infection-response/communicable-diseases-defence,biology,combined,higher,4,0,True,True,False,False,False,0011100101
biology/infection-response/viral-diseases,biology,combined,higher,3,0,True,True,False,False,False,0011000101
biology/infection-response/bacterial-diseases,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/infection-response/fungal-protist-diseases,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/infection-response/vaccination,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/infection-response/antibiotics-painkillers,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/infection-response/drug-discovery-development,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/bioenergetics/photosynthesis,biology,combined,higher,4,0,True,True,True,True,False,0111001101
biology/bioenergetics/rate-of-photosynthesis,biology,combined,higher,3,0,True,True,False,True,False,0011101101
biology/bioenergetics/uses-of-glucose,biology,combined,higher,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/aerobic-respiration,biology,combined,higher,3,0,True,True,True,False,False,0111100101
biology/bioenergetics/anaerobic-respiration,biology,combined,higher,4,0,True,True,True,False,False,0111000101
biology/bioenergetics/response-to-exercise,biology,combined,higher,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/metabolism,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/homeostasis,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/nervous-system,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/reflex-actions,biology,combined,higher,3,0,True,True,False,False,False,0011000101
biology/homeostasis/endocrine-system,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/blood-glucose-diabetes,biology,combined,higher,3,1,True,True,False,False,False,0011100111
biology/homeostasis/human-reproduction-hormones,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/contraception-fertility,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/reaction-time,biology,combined,higher,2,1,True,True,True,False,False,1111000111
biology/inheritance/sexual-asexual-reproduction,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/dna-genome,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/genetic-inheritance,biology,combined,higher,3,1,True,True,False,False,False,0011100111
biology/inheritance/inherited-disorders,biology,combined,higher,2,1,True,True,False,False,False,0011100111
biology/inheritance/sex-determination,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/variation,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/evolution-natural-selection,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/selective-breeding,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/genetic-engineering,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/evidence-for-evolution,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/fossils-extinction,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/inheritance/resistant-bacteria,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/ecology/ecosystems,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/ecology/abiotic-biotic-factors,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/ecology/adaptations,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/food-chains-webs,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/ecology/population-competition,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/ecology/biodiversity,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/ecology/waste-management,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/land-use,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/deforestation,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/global-warming,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/maintaining-biodiversity,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/carbon-cycle,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/ecology/water-cycle,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/decomposition,biology,combined,higher,2,0,True,True,False,True,False,0011101101
biology/ecology/sampling-techniques,biology,combined,higher,3,1,True,True,True,True,False,1111101111
biology/cell-biology/eukaryotes-prokaryotes,biology,triple,foundation,5,2,True,True,True,False,False,1111000111
biology/cell-biology/animal-plant-cells,biology,triple,foundation,5,0,True,True,False,True,False,0011001101
biology/cell-biology/cell-specialisation,biology,triple,foundation,4,0,True,True,False,False,False,0011000101
biology/cell-biology/microscopy,biology,triple,foundation,5,3,True,True,True,True,False,1111001111
biology/cell-biology/chromosomes-mitosis,biology,triple,foundation,5,0,True,True,False,False,False,0011000101
biology/cell-biology/stem-cells,biology,triple,foundation,4,0,True,True,False,False,False,0011000101
biology/cell-biology/transport-in-cells,biology,triple,foundation,5,1,True,True,False,True,False,0011001111
biology/cell-biology/culturing-microorganisms,biology,triple,foundation,3,1,True,True,True,True,False,0111001111
biology/organisation/principles-of-organisation,biology,triple,foundation,4,0,True,True,False,False,False,0011000101
biology/organisation/digestive-system,biology,triple,foundation,5,0,True,True,False,True,False,0011001101
biology/organisation/enzymes,biology,triple,foundation,5,0,True,True,False,True,False,0011001101
biology/organisation/heart-blood-vessels,biology,triple,foundation,4,0,True,True,False,False,False,0011000101
biology/organisation/blood,biology,triple,foundation,4,0,True,True,False,False,False,0011000101
biology/organisation/coronary-heart-disease,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/health-disease,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/cancer,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/plant-tissues,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/transpiration,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/organisation/translocation,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/infection-response/communicable-diseases-defence,biology,triple,foundation,4,0,True,True,False,False,False,0011000101
biology/infection-response/viral-diseases,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/infection-response/bacterial-diseases,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/infection-response/fungal-protist-diseases,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/infection-response/vaccination,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/infection-response/antibiotics-painkillers,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/infection-response/drug-discovery-development,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/infection-response/plant-disease-detection-defence,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/photosynthesis,biology,triple,foundation,4,0,True,True,True,True,False,0111001101
biology/bioenergetics/rate-of-photosynthesis,biology,triple,foundation,3,0,True,True,False,True,False,0011001101
biology/bioenergetics/uses-of-glucose,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/aerobic-respiration,biology,triple,foundation,3,0,True,True,True,False,False,0111000101
biology/bioenergetics/anaerobic-respiration,biology,triple,foundation,4,0,True,True,True,False,False,0111000101
biology/bioenergetics/response-to-exercise,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/metabolism,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/homeostasis,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/nervous-system,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/reflex-actions,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/thermoregulation,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/endocrine-system,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/blood-glucose-diabetes,biology,triple,foundation,3,1,True,True,False,False,False,0011000111
biology/homeostasis/human-reproduction-hormones,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/contraception-fertility,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/homeostasis/reaction-time,biology,triple,foundation,2,1,True,True,True,False,False,1111000111
biology/homeostasis/the-brain,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/homeostasis/the-eye,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/homeostasis/defects-of-the-eye,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/inheritance/sexual-asexual-reproduction,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/inheritance/meiosis,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/inheritance/advantages-sexual-asexual,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/inheritance/dna-genome,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/inheritance/dna-structure,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/inheritance/genetic-inheritance,biology,triple,foundation,3,1,True,True,False,False,False,0011000111
biology/inheritance/inherited-disorders,biology,triple,foundation,2,1,True,True,False,False,False,0011000111
biology/inheritance/sex-determination,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/inheritance/variation,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/inheritance/evolution-natural-selection,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/inheritance/theory-of-evolution,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/inheritance/selective-breeding,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/inheritance/genetic-engineering,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/inheritance/cloning,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/inheritance/evidence-for-evolution,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/inheritance/understanding-genetics,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/inheritance/fossils-extinction,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/inheritance/resistant-bacteria,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/inheritance/classification-living-organisms,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/ecology/ecosystems,biology,triple,foundation,3,0,True,True,False,False,False,0011000101
biology/ecology/abiotic-biotic-factors,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/adaptations,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/food-chains-webs,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/population-competition,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/biodiversity,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/waste-management,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/land-use,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/deforestation,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/global-warming,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/maintaining-biodiversity,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/carbon-cycle,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/water-cycle,biology,triple,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/decomposition,biology,triple,foundation,2,0,True,True,False,True,False,0011001101
biology/ecology/trophic-levels,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/ecology/pyramids-of-biomass,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/ecology/transfer-of-biomass,biology,triple,foundation,2,1,True,True,True,False,False,0111010111
biology/ecology/sampling-techniques,biology,triple,foundation,3,1,True,True,True,True,False,1111001111
biology/ecology/factors-affecting-food-security,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/ecology/farming-techniques,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/ecology/sustainable-fisheries,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/ecology/role-of-biotechnology,biology,triple,foundation,2,0,True,True,False,False,False,0011010101
biology/cell-biology/eukaryotes-prokaryotes,biology,triple,higher,5,2,True,True,True,False,False,1111000111
biology/cell-biology/animal-plant-cells,biology,triple,higher,5,0,True,True,False,True,False,0011001101
biology/cell-biology/cell-specialisation,biology,triple,higher,4,0,True,True,False,False,False,0011000101
biology/cell-biology/microscopy,biology,triple,higher,5,3,True,True,True,True,False,1111101111
biology/cell-biology/chromosomes-mitosis,biology,triple,higher,5,0,True,True,False,False,False,0011100101
biology/cell-biology/stem-cells,biology,triple,higher,4,0,True,True,False,False,False,0011100101
biology/cell-biology/transport-in-cells,biology,triple,higher,5,1,True,True,False,True,False,0011101111
biology/cell-biology/culturing-microorganisms,biology,triple,higher,3,1,True,True,True,True,False,0111001111
biology/organisation/principles-of-organisation,biology,triple,higher,4,0,True,True,False,False,False,0011000101
biology/organisation/digestive-system,biology,triple,higher,5,0,True,True,False,True,False,0011101101
biology/organisation/enzymes,biology,triple,higher,5,0,True,True,False,True,False,0011001101
biology/organisation/heart-blood-vessels,biology,triple,higher,4,0,True,True,False,False,False,0011100101
biology/organisation/blood,biology,triple,higher,4,0,True,True,False,False,False,0011000101
biology/organisation/coronary-heart-disease,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/health-disease,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/cancer,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/plant-tissues,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/transpiration,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/translocation,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/infection-response/communicable-diseases-defence,biology,triple,higher,4,0,True,True,False,False,False,0011100101
biology/infection-response/viral-diseases,biology,triple,higher,3,0,True,True,False,False,False,0011000101
biology/infection-response/bacterial-diseases,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/infection-response/fungal-protist-diseases,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/infection-response/vaccination,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/infection-response/antibiotics-painkillers,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/infection-response/drug-discovery-development,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/infection-response/plant-disease-detection-defence,biology,triple,higher,3,0,True,True,False,False,False,0011000101
biology/infection-response/monoclonal-antibodies,biology,triple,higher,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/photosynthesis,biology,triple,higher,4,0,True,True,True,True,False,0111001101
biology/bioenergetics/rate-of-photosynthesis,biology,triple,higher,3,0,True,True,False,True,False,0011101101
biology/bioenergetics/uses-of-glucose,biology,triple,higher,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/aerobic-respiration,biology,triple,higher,3,0,True,True,True,False,False,0111100101
biology/bioenergetics/anaerobic-respiration,biology,triple,higher,4,0,True,True,True,False,False,0111000101
biology/bioenergetics/response-to-exercise,biology,triple,higher,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/metabolism,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/homeostasis,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/nervous-system,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/reflex-actions,biology,triple,higher,3,0,True,True,False,False,False,0011000101
biology/homeostasis/thermoregulation,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/endocrine-system,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/blood-glucose-diabetes,biology,triple,higher,3,1,True,True,False,False,False,0011100111
biology/homeostasis/human-reproduction-hormones,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/contraception-fertility,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/reaction-time,biology,triple,higher,2,1,True,True,True,False,False,1111000111
biology/homeostasis/the-brain,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/homeostasis/the-eye,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/homeostasis/defects-of-the-eye,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/inheritance/sexual-asexual-reproduction,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/meiosis,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/inheritance/advantages-sexual-asexual,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/inheritance/dna-genome,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/dna-structure,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/inheritance/genetic-inheritance,biology,triple,higher,3,1,True,True,False,False,False,0011100111
biology/inheritance/inherited-disorders,biology,triple,higher,2,1,True,True,False,False,False,0011100111
biology/inheritance/sex-determination,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/variation,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/evolution-natural-selection,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/theory-of-evolution,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/inheritance/selective-breeding,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/genetic-engineering,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/cloning,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/inheritance/evidence-for-evolution,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/understanding-genetics,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/inheritance/fossils-extinction,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/inheritance/resistant-bacteria,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/classification-living-organisms,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/ecology/ecosystems,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/ecology/abiotic-biotic-factors,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/ecology/adaptations,biology,triple,higher,2,0,True,True,False,False,False,0011000101
